[2025-12-17 16:55:13,977.977] WARNING  [MainThread|MainProcess] Config (logger.py:warning:139) | 配置文件未找到
[2025-12-17 16:55:13,977.977] ERROR    [MainThread|MainProcess] Config (logger.py:error:134) | 加载配置失败: [setting] 配置文件不存在！
[2025-12-17 16:55:14,014.014] WARNING  [MainThread|MainProcess] Config (logger.py:warning:139) | 配置中未设置 QQ 号
[2025-12-17 16:55:19,690.690] WARNING  [MainThread|MainProcess] Client (logger.py:warning:139) | Bot 未处于运行状态, 无法退出
[2025-12-17 16:59:34,991.991] WARNING  [MainThread|MainProcess] Config (logger.py:warning:139) | 配置文件未找到
[2025-12-17 16:59:34,991.991] ERROR    [MainThread|MainProcess] Config (logger.py:error:134) | 加载配置失败: [setting] 配置文件不存在！
[2025-12-17 17:04:42,596.596] WARNING  [MainThread|MainProcess] Config (logger.py:warning:139) | 配置文件未找到
[2025-12-17 17:04:42,596.596] ERROR    [MainThread|MainProcess] Config (logger.py:error:134) | 加载配置失败: [setting] 配置文件不存在！
[2025-12-17 17:07:57,307.307] WARNING  [MainThread|MainProcess] Config (logger.py:warning:139) | 配置文件未找到
[2025-12-17 17:07:57,308.308] ERROR    [MainThread|MainProcess] Config (logger.py:error:134) | 加载配置失败: [setting] 配置文件不存在！
[2025-12-17 17:07:57,333.333] INFO     [MainThread|MainProcess] Config (logger.py:info:129) | [BOTQQ]: 2401262719 | [WSURI]: ws://localhost:3001 | [WS_TOKEN]:  | [ROOT]: 2490162471 | [WEBUI]: http://localhost:6099 | [WEBUI_TOKEN]: napcat
[2025-12-17 17:07:57,334.334] WARNING  [MainThread|MainProcess] Config (logger.py:warning:139) | 插件目录 plugins 不存在，将自动创建
[2025-12-17 17:08:00,802.802] INFO     [MainThread|MainProcess] Config (logger.py:info:129) | 已生成强密码: ,dNbB;0,6>JpkYgm
[2025-12-17 17:08:00,805.805] INFO     [MainThread|MainProcess] Config (logger.py:info:129) | 配置已保存到 /home/le1zycatt/Desktop/vscode_py/Agent_Penguin/ncatbot/config.yaml
[2025-12-17 17:08:00,863.863] INFO     [Thread-2 (runner)|MainProcess] PluginLoader (logger.py:info:129) | 已加载内置插件数 [2]
[2025-12-17 17:08:00,863.863] INFO     [Thread-2 (runner)|MainProcess] PluginLoader (logger.py:info:129) | 从 /home/le1zycatt/Desktop/vscode_py/Agent_Penguin/ncatbot/plugins 导入插件
